Name,Symbol,Contract Address,Decimal
Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,6
BNB,BNB,0xB8c77482e45F1F44dE1745F52C74426C631bDD52,18
USD Coin,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,6
stETH,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,18
TRON,TRX,0x50327c6c5a14dcade707abad2e27eb517df87ab5,6
Matic Token,MATIC,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,18
SHIBA INU,SHIB,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,18
Theta Token,THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645,18
Wrapped TON Coin,TONCOIN,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,9
Wrapped BTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,8
Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
Dai Stablecoin,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
Bitfinex LEO Token,LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,18
ChainLink Token,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
Binance USD,BUSD,0x4fabb145d64652a948d72533023f6e7a623c7c53,18
TrueUSD,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376,18
OKB,OKB,0x75231f58b43240c9718dd58b4967c5114342a86c,18
Lido DAO Token,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18
Quant,QNT,0x4a220e6096b25eadb88358cb44068a3248254675,18
Mantle,MNT,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,18
Cronos Coin,CRO,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,8
Arbitrum,ARB,0xB50721BCf8d664c30412Cfbc6cf7a15145234ad1,18
VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1,18
NEAR,NEAR,0x85f17cf997934a597031b2e18a9ab6ebd4b9f6a4,24
Maker,MKR,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,18
Rocket Pool ETH,rETH,0xae78736cd615f374d3085123a210448e74fc6393,18
Graph Token,GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18
Staked Aave,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,18
Frax,FRAX,0x853d955acef822db058eb8505911ed77f175b99e,18
Synthetix Network Token,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
SAND,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,18
HEX,HEX,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,8
Decentralized USD,USDD,0x0C10bF8FcB7Bf5412187A595ab97a3609160b5c6,18
Immutable X,IMX,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,18
ApeCoin,APE,0x4d224452801aced8b2f0aebe155379bb5d594381,18
Decentraland,MANA,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,18
Wrapped Decentraland MANA,wMANA,0xfd09cf7cfffa9932e33668311c4777cb9db3c9be,18
Fantom Token,FTM,0x4e15361fd6b4bb609fa63c81a2be19d873717870,18
Injective Token,INJ,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,18
Render Token,RNDR,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,18
Rocket Pool,RPL,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,18
