name,symbol,contract_address,decimal
Green Metaverse Token,GMT,0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1,8
Kusama,KSM,0x2aa69e8d25c045b659787bc1f03ce47a388db6e8,18
Venus BTC,vBTC,0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,8
DFI (DefiChain),DFI,0x361c60b7c2828fcab80988d00d1d542c83387b50,18
Binance-Peg ELF Token,ELF,0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9,18
Baby Doge Coin,BabyDoge,0xc748673057861a797275CD8A068AbB95A902e8de,9
Fetch,FET,0x031b41e504677879370e9dbcf937283a8691fa7f,18
Merit Circle,MC,0x949d48eca67b17269629c7194f4b727d4ef9e5d6,18
Balancer,BAL,0xd4ed60d8368a92b5f1ca33af61ef2a94714b2d46,18
Swipe,SXP,0x47bead2563dcbf3bf2c9407fea4dc236faba485a,18
Ethereum PoW,ETHW,0x302cd8973be5ca2334b4ff7e7b01ba41455559b3,18
DAO Maker,DAO,0x4d2d32d8652058bf98c772953e1df5c5c85d9f45,18
DAO Maker,DAO,0x812764fa37a4fd731a5d39f0e519b6b8d61e82a0,18
Moonbeam,GLMR,0x76f3ce6af26de7a9854dbd153acd8f46a2cf5133,18
Binance-Peg Ontology Token,ONT,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,18
Binance-Peg IoTeX Network,IOTX,0x9678e42cebeb63f23197d726b29b1cb20d0064e5,18
Binance-Peg Band Protocol Token,BAND,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,18
Axelar,AXL,0x8b1f4432f943c465a973fedc6d7aa50fc96f1f65,6
Ocean Protocol,OCEAN,0xdce07662ca8ebc241316a15b611c89711414dd1a,18
Wrapped USTC Token,USTC,0x23396cf899ca06c4472205fc903bdb4de249d6fc,18
StargateToken,STG,0xB0D502E938ed5f4df2E681fE6E419ff29631d62b,18
Venus USDC,vUSDC,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,8
Binance-Peg Kyber Network Crystal Token,KNC,0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b,18
QANX Token,QANX,0xaaa9214f675316182eaa21c85f0ca99160cc3aaa,18
Binance-Peg Cartesi Token,CTSI,0x8da443f84fea710266c8eb6bc34b71702d033ef2,18
Prometeus,PROM,0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,18
JoeToken,JOE,0x371c7ec6d8039ff7933a2aa28eb827ffe1f52f07,18
Bitrise Token,BRISE,0x8FFf93E810a2eDaaFc326eDEE51071DA9d398E83,9
DeXe,DEXE,0x039cb485212f996a9dbb85a9a75d898f94d38da6,18
SafeMoon,SFM,0x42981d0bfbAf196529376EE702F2a9Eb9092fcB5,9
Nerve,NRV,0x42F6f551ae042cBe50C739158b4f0CAC0Edb9096,18
Coin98,C98,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6,18
Radiant,RDNT,0xf7DE7E8A6bd59ED41a4b5fe50278b3B7f31384dF,18
Alchemy,ACH,0xBc7d6B50616989655AfD682fb42743507003056D,8
Dogelon Mars,ELON,0x7bd6fabd64813c48545c9c0e312a0099d9be2540,18
inSure,SURE,0x9b17baadf0f21f03e35249e0e59723f34994f806,18
Orbs,ORBS,0xebd49b26169e1b52c04cfd19fcf289405df55f80,18
Binance Wrapped MVL,bMVL,0x5f588efaf8eb57e3837486e834fc5a4e07768d98,18
Binance-Peg Celer Token,CELR,0x1f9f6a696c6fd109cd3956f45dc709d2b3902163,18
AlphaToken,ALPHA,0xa1faa113cbe53436df28ff0aee54275c13b40975,18
Marlin POND,POND,0xa1428370f540b4c4e319224165ecae513a391f77,18
Synapse,SYN,0xa4080f1778e69467e905b8d6f72f6e441f9e9484,18
XCAD Token,XCAD,0xa026Ad2ceDa16Ca5FC28fd3C72f99e2C332c8a26,18
Linear Token,LINA,0x762539b45a1dcce3d36d080f74d1aed37844b878,18
DODO bird,DODO,0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2,18
Secret,SCRT,0x02dd18e4981da3fc7363fe56f3b81d1860b44ea7,18
CertiK Token,CTK,0xa8c2b8eec3d368c0253ad3dae65a5f2bbb89c929,6
Binance-Peg Smooth Love Potion,SLP,0x070a08beef8d36734dd67a491202ff35a6a16d97,18
Venus BUSD,vBUSD,0x95c78222b3d6e262426483d42cfa53685a67ab9d,8
Binance-Peg Bancor Network Token,BNT,0xa069008a669e2af00a86673d9d584cfb524a42cc,18
ALICE,ALICE,0xac51066d7bec65dc4589368da368b212745d63e8,6
Venus,XVS,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,18
SPACE ID,ID,0x2dfF88A56767223A5529eA5960Da7A3F5f766406,18
VAI Stablecoin,VAI,0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,18
MDX Token,MDX,0x9c65ab58d8d978db963e63f2bfb7121627e3a739,18
Mobox,MBOX,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,18
Beta Token,BETA,0xbe1a001fe942f96eea22ba08783140b9dcc09d28,18
Binance-Peg Phala Network Token,PHA,0x0112e557d400474717056c4e6d40edd846f38351,18
Koda Cryptocurrency,KODA,0x8094e772fa4a60bdeb1dfec56ab040e17dd608d5,9
Binance-Peg wazirx token,WRX,0x8e17ed70334c87ece574c9d537bc153d8609e2a3,8
Binance-Peg COTI Token,COTI,0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb,18
NEST,NEST,0xcd6926193308d3b371fdd6a6219067e550000000,18
MovieBloc,MBL,0x18e37f96628db3037d633fe4d469fb1933a63c5b,18
DEXTools,DEXT,0xe91a8d2c584ca93c7405f15c22cdfe53c29896e3,18
GoMining Token,GMT,0x7ddc52c4de30e94be3a6a0a2b259b2850f421989,18
Yield Guild Games Token,YGG,0x13ab6739368a4e4abf24695bf52959224367391f,18
Bluzelle Token,BLZ,0x935a544bf5816e3a7c13db2efe3009ffda0acda2,18
Origin,OGN,0x9c1962e0ac2a370ab4c4f4eecba6483d8764c4b2,18
Hook Token,HOOK,0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0,18
Sologenic,SOLO,0xc2c28b58db223DA89b567A0A98197Fc17C115148,15
10Set Token,10SET,0x1ae369a6ab222aff166325b7b87eb9af06c86e57,18
Alien Worlds Trilium,TLM,0x2222227e22102fe3322098e4cbfe18cfebd57c95,4
