network,symbol,contract_address,method_ID,method
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x30adf81f,PERMIT_TYPEHASH()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x313ce567,decimals()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x3644e515,DOMAIN_SEPARATOR()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x40c10f19,"mint(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x54fd4d50,version()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x65fae35e,rely(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x70a08231,balanceOf(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x7ecebe00,nonces(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x8fcbaf0c,"permit(address,address,uint256,uint256,bool,uint8,bytes32,bytes32)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x95d89b41,symbol()
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9c52a7f1,deny(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x9dc29fac,"burn(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xa9059cbb,"transfer(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xb753a98c,"push(address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xbb35783b,"move(address,address,uint256)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xbf353dbb,wards(address)
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xdd62ed3e,"allowance(address,address)"
ethereum,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xf2d5d56b,"pull(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x06fdde03,name()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x095ea7b3,"approve(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x18160ddd,totalSupply()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x23b872dd,"transferFrom(address,address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x313ce567,decimals()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x4000aea0,"transferAndCall(address,uint256,bytes)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x66188463,"decreaseApproval(address,uint256)"
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x70a08231,balanceOf(address)
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0x95d89b41,symbol()
ethereum,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,0xa9059cbb,"transfer(address,uint256)"
